,Entity,Meningitis,Neoplasms,Fire heat and hot substances,Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Terrorism,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease
92,European Region,254403,60500743,749379,5234,1115549,1951035,841474,622435,1365541,3805483,76532,8033225,2067171,2418213,34597,526769,904983,247495,5097527,192030,4673583,553404,191297,0,128296565,3860870,11197587,6390630,12298295,69963,8719048,1959125
93,European Union,82856,40671925,181185,0,250471,239737,259518,258938,287819,1711140,13888,4782608,410231,678273,5825,251458,111930,176542,2185593,13228,3048782,82482,149062,0,60503132,2602149,7060547,3417299,7212530,11200,6329875,1392269
94,Fiji,621,16990,748,0,1855,1038,300,72,1341,2802,571,6430,5653,48,212,3356,30,603,2448,8,35664,76,597,8,62710,6447,12012,2174,4415,86,1457,922
95,Finland,786,356717,2595,0,4186,4021,354,7087,2816,12636,87,50628,2513,17229,17,1737,3059,284,35088,80,14615,429,97,11,695600,12630,48037,30255,70121,71,64640,14795
96,France,8975,5067099,24380,0,31279,21575,50258,34180,49505,217006,2301,577479,45344,104758,913,47914,16249,103810,388163,792,324244,6253,99271,344,4729313,273752,607771,357490,839800,754,882954,180197
97,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,G20,3334483,181825033,2097456,2574965,6729638,7386914,9665051,2252031,24122351,23328740,3186923,42994014,32729808,3718049,529092,31820946,1348241,5635102,18394033,195341,20536279,1497014,4448391,0,325931580,19196738,84624041,23483540,43507429,2302997,23762265,5659933
100,Gabon,3545,32112,869,25464,989,1911,43018,197,19145,13750,3383,23189,22255,461,1,14826,202,3054,4367,12,13941,688,2845,4,64442,8347,9013,10477,16123,380,3578,997
101,Gambia,7947,19405,1069,38603,1220,322,22926,53,18036,5698,8200,35453,44246,278,75,23536,261,5784,2433,41,5805,807,5553,13,48140,5907,8642,7777,14261,567,2632,812
102,Georgia,1303,223706,6921,12,5815,6198,377,582,9292,23007,617,28699,25580,2080,158,1786,878,245,9228,4142,31656,1351,81,278,1018279,16025,34751,48012,62230,249,40266,8453
103,Germany,10086,7325650,20982,0,17698,24943,28390,43072,24383,211341,1488,603119,46185,180344,280,66744,5408,11627,377986,388,621574,3303,8354,84,10819770,616900,1117582,654268,1335653,2446,1114977,264727
104,Ghana,128260,362922,15216,721339,16423,23702,493463,999,319504,124479,40268,448883,535128,4633,491,370749,3421,100393,41731,334,117345,11060,96591,19,794129,91364,130727,157443,244322,9465,34950,9136
105,Greece,1291,902379,3716,0,10847,4084,1009,7160,4587,56044,158,99752,7981,1085,238,594,852,306,13763,105,34134,918,155,100,1453438,96773,127666,42974,95956,1145,123503,31404
106,Greenland,50,3844,89,0,150,231,85,47,122,106,0,346,259,319,2,30,60,13,1366,0,159,26,10,0,3419,147,829,229,635,0,153,77
107,Grenada,39,4397,68,0,212,166,206,25,31,327,30,1490,475,84,19,60,0,98,149,3,1856,17,86,0,7700,1025,524,466,950,7,478,118
108,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,Guam,46,4101,30,0,189,176,154,29,114,590,30,764,604,44,3,115,0,73,796,15,979,0,73,0,9418,936,1194,789,1023,0,587,192
110,Guatemala,8966,248339,5502,442,11727,161965,17114,3010,24579,50375,22395,316820,159183,46998,1863,153754,708,97606,25845,2658,104308,5073,91285,288,304449,89654,51045,111181,185491,341,28261,6875
111,Guinea,101125,202921,10740,362661,16168,20002,98415,312,142635,56337,61024,465928,359684,1918,39,289562,2488,85382,17788,1879,47968,7638,83345,212,363385,48969,76316,65990,108468,11236,22010,6613
112,Guinea-Bissau,13956,21933,1525,26595,2461,4143,29624,73,25865,13652,5811,43246,56058,346,8,56776,438,8301,3789,951,7328,1137,7976,17,52785,7372,10372,10860,18655,1749,1710,611
113,Guyana,353,18375,614,3420,1925,4718,6691,36,2557,4437,834,7884,10512,643,34,3448,114,2316,7177,63,13640,108,2036,33,63771,5593,2990,6511,10283,111,1730,570
114,Haiti,40890,227925,16152,28832,42062,77719,300695,716,45749,33503,44582,208656,156871,8097,231490,196771,4454,42414,22867,1029,97074,5693,41149,324,601708,48881,84435,50341,107579,3023,14787,5793
115,High SDI,130553,63002352,349207,995,540506,874822,709614,1109150,562683,3727625,50681,9436550,980514,910916,51051,562812,165859,353278,4283674,21699,5083809,124904,305450,0,79444153,5299798,12229131,4964062,10279687,26143,11072210,2129382
116,High-income,153419,72072209,365847,288,535187,945961,869030,1131596,528235,3690371,56171,10532266,1069090,909327,48906,607097,150346,427942,4449650,27395,5948674,114625,368719,0,88909010,6195727,14085769,5590045,11768488,26948,12758255,2478885
117,High-income Asia Pacific,20598,12879370,72907,162,229372,59694,9267,16640,264838,646186,5246,2938721,73925,55702,30049,86248,52751,48089,1215136,382,584434,25062,33263,0,11466591,1121836,1635883,1117323,1990759,9044,2931733,367527
118,High-income North America,43178,21022258,136713,0,124509,628481,545677,838110,42922,1452360,25978,2463147,461157,340495,11081,228647,44433,142060,1303721,12691,2226156,44471,128337,0,28655673,2163831,5352072,1637708,3316272,6253,3620152,743812
119,High-middle SDI,502523,65546768,838558,352691,1888947,2876333,1678522,609589,2797085,7141735,280902,8808740,4098289,2169856,103074,1230432,905668,502228,5818359,266665,5888412,755859,414512,0,139056861,5008759,20855254,7262545,12868610,205625,7871156,1899045
120,Honduras,4455,135345,1834,205,6785,100835,3735,1721,15393,29024,10356,35096,70799,7617,15648,58414,127,7735,5826,161,18770,1626,7123,110,270938,50046,68649,57558,120554,822,19534,6484
121,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
122,Hungary,2864,1036094,6238,0,6453,7584,3572,1338,6947,42672,363,34060,13123,22920,69,3589,7387,797,86210,10,66143,2333,316,6,1938728,35355,155490,165435,254541,125,102429,22142
123,Iceland,55,16360,60,0,92,80,47,265,69,536,0,2767,210,195,76,81,30,38,1107,0,607,30,33,0,21405,645,2644,436,1622,0,2925,784
124,India,2008944,17762703,730580,2439244,2110438,1237163,2454374,168928,15820922,5346154,2292449,16419404,20911570,527112,114044,26243547,334967,3290568,5543395,74430,4781170,170119,2356221,16210,52994710,4556172,25232974,6294910,11804381,1672179,1707561,756832
125,Indonesia,337724,4672674,51790,74664,237902,81342,74981,12980,3197011,1325509,376966,1820769,2238128,16158,191692,2590656,3614,604467,223144,7489,1888549,27837,560546,1139,13587012,964478,2559457,2249388,3204786,231909,487566,145752
126,International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,Iran,30821,1242461,85948,13013,57888,60299,12695,76171,29658,840360,13881,319755,782644,6288,75410,51705,1804,13985,133625,9208,213971,36491,12817,607,3867575,246305,359283,153354,252304,17350,212745,48549
128,Iraq,29604,421656,31626,86,33077,90384,1451,11566,42775,160444,18547,175662,454485,1178,169,70537,1041,10598,43690,336979,173840,4017,9766,78428,1655522,154225,81596,62335,88429,5952,63014,14484
129,Ireland,622,252493,1422,0,1768,1132,510,3979,1300,9708,81,54142,3418,2545,20,785,320,396,14753,16,13527,405,187,14,334089,15477,67265,9614,30682,34,32298,8110
130,Israel,1044,331189,1348,0,1526,5255,1186,1640,1423,19927,262,32778,10404,1862,49,5931,419,990,15597,8833,63661,243,743,1320,353386,54179,47848,18669,46616,177,48452,12292
131,Italy,6584,5173525,13888,0,13429,23540,47691,22033,17573,234289,851,291040,39400,9444,1801,13056,5468,13147,141185,70,568245,4406,8727,26,6614384,346993,797579,432732,827170,2162,929827,179066
132,Jamaica,1063,96446,625,0,473,13745,13671,133,462,4761,920,13597,18714,233,101,2131,38,2871,1910,86,53947,111,2658,19,151968,20966,16370,4894,13363,56,17775,3422
133,Japan,14329,10530448,52365,0,189041,28447,5140,12254,135757,327979,2698,2659196,32848,21092,27540,67308,43462,38101,861712,78,251165,12372,27908,45,9210437,966881,1231228,755502,1463405,6876,2638908,308326
134,Jordan,1982,82273,4429,0,3318,6502,400,252,1044,25603,3010,23329,49238,270,63,2338,105,429,4807,1084,35911,1680,367,119,201236,26307,16228,11054,19434,424,10111,2629
135,Kazakhstan,8919,648639,19527,0,43544,76206,7615,15442,85570,103782,3632,139520,77170,59494,210,17170,37574,3322,149638,416,49499,20586,2187,39,2232449,43437,224600,152588,228739,3038,55729,16206
136,Kenya,140063,409423,19466,303684,16553,96920,2583539,1496,452070,100798,106386,644983,584643,6408,1546,729360,5862,173201,65367,9319,116148,19489,167652,1898,798827,89063,163945,272978,428683,34762,51425,11205
137,Kiribati,455,2910,30,0,173,128,47,30,2087,537,283,1141,1706,11,0,1687,17,576,807,14,2987,52,565,0,8384,853,1903,732,1440,100,166,116
138,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
139,Kuwait,295,26502,746,0,664,1162,77,352,909,13449,126,9978,5793,172,3,160,57,23,2420,3853,7012,477,2,41,72602,6620,4027,3451,5651,55,6131,966
140,Kyrgyzstan,3249,113709,4570,12,12857,12968,3767,2153,19192,27667,2013,52290,52311,12578,600,9442,3722,564,19677,672,8541,3549,463,10,517869,15474,72407,55655,66466,1238,19434,3521
141,Laos,13813,112232,3451,5372,18731,21020,6315,388,110749,36049,18920,197088,154761,2226,377,87415,444,17326,13307,393,34098,1600,16271,25,309868,40767,76974,30997,66638,3835,9991,3093
142,Latin America & Caribbean - World Bank region,330907,16188219,204189,115109,626735,4148679,1375816,56230,827736,3309177,322250,5780977,4266478,566975,318956,1661783,24214,1074269,1123614,54168,4310931,72460,990029,0,25201777,3753716,4483430,3232318,5820870,30676,2589348,544380
143,Latvia,728,176973,6883,0,8473,8683,3032,1657,4161,16012,151,13047,2705,10957,10,155,6580,303,21098,9,9100,1722,94,2,544359,5191,15486,12609,30628,183,23112,5117
144,Lebanon,1274,151517,2618,0,1838,8275,1906,1860,1710,11511,789,22009,25063,363,48,2262,90,402,4292,4927,18508,970,339,1260,362108,25459,28211,13849,21986,4382,21842,4368
145,Lesotho,5587,50752,3124,0,2953,19200,322742,149,73453,21479,4597,58785,49732,808,49,60502,708,7257,16070,151,26695,1276,7057,1,105072,12162,33798,10825,23738,1036,4029,950
146,Liberia,23708,43827,2492,145813,3478,5602,49585,120,39624,12910,22162,85244,92620,688,14,142432,519,22781,5642,20518,13945,1868,21878,177,105814,14987,14733,24659,38910,3284,6384,1796
147,Libya,1691,98466,3789,0,3293,7862,1352,3106,2100,53596,1019,20293,35286,471,16,3715,126,497,7492,19696,14673,1708,425,2583,238179,24380,22354,15449,23870,1283,20235,3497
148,Lithuania,1042,241986,4251,0,11752,9714,1784,2803,9166,21637,137,16145,3315,17741,20,301,8876,190,42217,19,7278,4540,85,1,657865,6720,31808,25576,51246,73,32826,6271
149,Low SDI,4907585,11038508,638026,15895355,1197331,1579099,14724261,59556,13205810,4254313,3098725,23136325,26097767,193791,307102,26861339,196976,5432546,1688297,1738318,3098793,516813,5029008,0,27548660,2664549,8583844,4579356,8064288,984085,1089486,331362
150,Low-middle SDI,3315974,27816133,859121,5909612,3164620,3060631,10559477,286869,18652540,7549142,2950059,24320224,30049687,774151,531082,28471895,286515,5386807,5792567,382058,6862413,492254,4504578,0,72323769,6029772,28794931,9001497,16031952,1677730,3054557,1013880
151,Luxembourg,48,33867,95,0,97,212,132,439,79,1515,10,3365,278,664,2,310,30,158,2030,1,1831,35,145,0,41754,2471,5729,2780,5811,0,4564,1263
152,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,Madagascar,81655,230677,11570,202088,15133,11762,34991,849,344135,72953,75125,488612,386736,3324,2072,640290,3720,260158,33836,1343,59913,10727,252909,31,773591,42875,149271,105287,160000,6929,18593,4613
154,Malawi,107434,226599,10228,404288,14016,9141,1265348,716,274335,55753,39029,380042,393357,2825,953,413051,2441,113303,28814,92,58163,9510,109606,33,371555,41137,62075,99983,151852,12213,19156,4515
155,Malaysia,10204,570534,7393,1437,21733,16974,49843,2394,64779,178875,9805,336632,58843,4559,794,31782,371,5563,38809,123,90231,5518,5275,18,1194056,113850,183161,94730,202459,6003,64618,16274
156,Maldives,84,4030,141,0,689,182,12,27,766,554,382,859,3814,30,102,627,0,302,392,0,993,0,236,1,11462,1686,3024,660,1023,37,641,180
157,Mali,189707,191446,17049,711087,24627,37790,137382,318,174546,61404,80995,387730,747230,2067,124,579172,3140,304544,19059,32775,55390,13283,297954,1432,423975,56761,103596,85878,148239,15178,23893,6495
158,Malta,77,23644,64,0,137,171,73,171,43,674,18,4352,474,77,1,51,30,30,690,3,3133,30,17,3,39696,2328,3866,1187,3188,0,3887,1043
159,Marshall Islands,49,1125,30,0,183,120,56,0,264,311,60,666,505,27,0,279,0,61,341,0,696,0,57,0,3453,345,706,262,457,15,68,49
160,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Mauritania,10642,44018,1677,26053,1721,4872,1142,105,20347,25652,18876,64679,75578,438,76,85902,388,13719,3891,156,13766,1070,13156,39,95870,14862,14363,17690,29856,1105,6830,1790
162,Mauritius,324,30640,1076,0,1264,949,1273,253,464,5315,250,8047,5334,2024,31,967,22,383,3994,0,30978,78,358,0,94929,21994,13393,8917,12376,34,5838,1221
163,Mexico,24956,2134942,31896,218,93275,554972,147499,13282,113769,597434,42091,643772,734234,129387,4593,273613,5348,269731,158347,1333,1328965,18046,234786,677,3244514,1182693,771520,985079,1483060,7297,403107,87040
164,Micronesia (country),89,2691,47,0,385,270,454,30,500,702,123,1358,758,47,53,501,16,128,711,0,2292,30,124,0,8366,1146,1790,565,1017,18,198,127
165,Middle East & North Africa,203439,5609327,291267,159820,247033,268239,89654,138845,408528,3568528,217833,2550735,3842559,27062,85345,1301386,13272,165919,503291,932348,1343682,98978,151979,131064,21840586,1677138,1899776,2164167,2757904,148720,881174,227642
166,Middle SDI,1667936,62354760,918037,3184050,3510629,4377267,8692505,591020,10632485,13623644,1346702,18068183,15634448,770310,497822,9109011,233880,2117165,6131052,885323,10515452,711308,1778341,0,129368531,9908786,34142148,11671870,18394105,891251,6681496,1806145
167,Moldova,1571,182270,5067,0,9498,13192,4999,995,10983,20292,479,32555,9647,12646,69,959,6914,171,22504,1069,10389,7418,116,13,746997,5526,46607,101480,127944,280,25100,4861
168,Monaco,0,5775,0,0,30,0,28,0,38,70,0,651,10,0,0,0,0,0,164,0,108,6,0,0,5363,190,558,209,497,0,723,172
169,Mongolia,4336,120092,2728,0,5066,8807,179,386,14616,15241,2287,42949,30005,8973,281,7025,7291,691,16429,156,2817,4615,48,0,231046,11467,13996,34732,49936,1771,4504,1246
170,Montenegro,63,40553,392,0,385,832,59,32,188,2028,25,1940,1549,243,1,30,167,30,3568,3,3750,121,30,1,101092,3177,2170,1373,4156,0,4422,1231
171,Morocco,29170,543654,29598,0,17133,10907,17552,7718,168232,305148,38902,252563,400341,2745,1847,153225,3520,9729,76054,171,112749,8897,8554,80,2551096,182577,213543,105855,179607,15900,102231,24816
172,Mozambique,120771,266464,18141,817948,22265,33861,1541266,1804,602652,114554,52371,546528,734771,5046,2591,514639,4101,195650,46724,5574,93782,16546,188945,789,666919,58349,94550,66310,156332,17322,31970,6976
173,Myanmar,139348,1260516,12451,157143,155752,29794,268570,5264,866485,291092,63745,1153569,859667,13689,139932,706020,518,93900,74663,18252,520531,50299,85808,991,3522423,288985,1253201,530177,744192,17130,128601,35045
174,Namibia,3979,32146,2372,7383,2130,11562,156336,140,33474,15198,2863,42672,30359,649,264,27497,548,7408,6700,216,18855,847,7215,41,94038,8490,23323,8575,18726,309,4487,1150
175,Nauru,19,226,0,0,56,30,6,0,30,109,23,184,140,0,0,24,0,23,73,0,160,0,23,0,772,81,128,60,84,0,0,0
176,Nepal,37392,406878,5157,1643,62520,13560,34487,659,301406,66812,80001,502770,519032,5022,15571,355418,6599,108222,88624,14447,54405,17920,95262,1963,913752,85815,822694,188003,273247,26986,41405,13742
177,Netherlands,3731,1338631,3627,0,2954,5840,5168,3666,4343,34449,440,189718,13431,9705,43,7660,857,6074,57082,230,103768,530,4422,13,1334457,76627,263005,51593,174262,164,191095,42419
178,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,New Zealand,682,247515,822,0,1788,1934,671,1411,678,14739,199,21517,4225,1301,287,1243,181,356,15896,0,17532,250,252,0,328560,17445,57809,7172,25560,41,40940,8236
180,Nicaragua,4238,86863,833,286,5214,12919,6618,255,7082,18379,2710,37149,41187,8106,4855,25264,87,8905,9281,329,34246,822,8855,149,168887,57195,27119,30148,45063,283,13636,4081
181,Niger,314819,125297,17060,693962,25082,36765,69439,242,173078,61895,78160,742507,525214,2000,488,1021934,2986,123982,18126,3353,37512,12042,121040,1300,329937,44573,74913,71448,134701,10238,14695,4065
182,Nigeria,1520376,1618730,110784,6422063,103723,306846,2216718,4897,1769390,487695,525566,5917528,5262229,28341,1899,7449328,26363,286858,190297,78908,541020,107604,270470,22674,4176488,464656,641714,995203,1716202,119860,241713,66545
183,Niue,0,90,0,0,0,0,0,0,0,0,0,30,1,0,1,0,0,0,0,0,80,0,0,0,263,30,45,9,30,0,12,0
184,Nordic Region,4674,1938496,10610,0,11219,11561,4134,28599,10028,53577,390,283298,14803,58051,308,27126,6611,7609,128164,224,127733,2609,4978,0,3003950,93662,348073,100809,290476,308,345987,72153
185,North Africa and Middle East,362448,8233229,364572,272920,393421,461169,167024,156001,666039,4186606,455333,4170902,6077719,36183,123995,2142501,18602,324404,654682,1334813,1905910,154161,301586,0,29115180,2271767,3005783,2532089,3394851,338991,1308106,315150
186,North America,43140,21022167,136629,0,124433,628309,545902,838082,42800,1452471,25980,2463172,460952,340200,11085,228632,44370,142056,1302424,12691,2226565,44456,128331,4228,28657081,2164033,5351546,1637680,3316084,6251,3620492,743896
187,North Korea,14250,978429,9595,81,59067,26585,9621,7973,106488,229844,16471,253159,210676,9524,2669,18000,3272,632056,88069,3,95880,12983,629389,3,2241454,102116,780804,132430,236073,7705,88087,26290
188,North Macedonia,387,128961,402,0,816,1850,56,282,2521,5615,92,6094,7102,847,37,1362,173,37,6355,215,23391,281,14,49,360839,8744,18904,8020,15477,36,9156,3887
189,Northern Ireland,352,124693,450,0,320,545,300,1238,392,3755,59,35761,2239,1435,5,811,153,129,5658,720,4193,197,81,0,162587,5081,31642,5988,19279,30,16731,4244
190,Northern Mariana Islands,0,1593,13,0,141,117,23,0,44,300,28,281,111,56,5,44,0,30,265,5,524,0,30,0,2340,450,421,367,505,0,90,45
191,Norway,878,345383,2059,0,2045,1289,773,7568,1738,9042,81,68615,2897,7758,140,6723,971,1402,18010,88,19988,571,1183,78,490252,17960,67974,10864,42226,60,65284,11827
192,OECD Countries,206679,79710371,435152,560,707504,1553685,977585,1165521,731794,4644963,108858,11336200,2329433,1208356,74590,916883,203120,680828,5006140,65481,7797478,167576,582261,0,104163658,7636864,15717329,7117055,14196254,58588,13909445,2700967
